Designator,Mid X,Mid Y,Rotation,Layer
BOOT,80.33,-56.25,270.0,top
C1,90.25,-57.5,90.0,top
C10,88.5,-58.35,90.0,top
C11,88.5,-60.58,90.0,top
C12,107.1,-63.5,0.0,top
C13,110.5,-66.8,90.0,top
C2,93.75,-54.75,0.0,top
C3,102.25,-58.25,270.0,top
C4,99.3,-66.5,180.0,top
C5,93.75,-53.25,0.0,top
C6,90.25,-61.75,90.0,top
C7,89.5,-65.25,180.0,top
C8,89.5,-66.75,180.0,top
C9,93.75,-66.75,180.0,top
DEBUG,102.78,-49.0,270.0,top
FB1,91.5,-66.25,270.0,top
I2C,95.0,-73.0,90.0,top
J1,113.725,-59.35,90.0,top
ON,112.6,-69.8,180.0,top
R1,84.0,-55.0,90.0,top
R2,108.0,-58.8,270.0,top
R3,112.4,-67.3,90.0,top
R4,95.49,-70.0,180.0,top
R5,97.74,-70.0,0.0,top
U1,96.25,-60.6625,270.0,top
U2,105.75,-69.0,90.0,top
UART,90.61,-49.0,270.0,top
Y1,85.9,-59.5,270.0,top
